timestamp,layer,percentile,stat,value
1765434535.0956526,13,0.9,p9000,0.010746002197265625
1765434535.0956526,13,0.95,p9500,0.016941070556640625
1765434535.0956526,13,0.99,p9900,0.0517425537109375
1765434535.0956526,13,0.999,p9990,0.15968704223632812
1765434535.0956526,13,0.9999,p9999,0.4366302490234375
1765434535.0956526,13,,max,5.29296875
1765434535.0956526,14,0.9,p9000,0.010805130004882812
1765434535.0956526,14,0.95,p9500,0.01696014404296875
1765434535.0956526,14,0.99,p9900,0.0561370849609375
1765434535.0956526,14,0.999,p9990,0.17161941528320312
1765434535.0956526,14,0.9999,p9999,0.39125823974609375
1765434535.0956526,14,,max,6.1435546875
1765434535.0956526,15,0.9,p9000,0.012022018432617188
1765434535.0956526,15,0.95,p9500,0.019618988037109375
1765434535.0956526,15,0.99,p9900,0.06806182861328125
1765434535.0956526,15,0.999,p9990,0.2342357635498047
1765434535.0956526,15,0.9999,p9999,0.5093841552734375
1765434535.0956526,15,,max,6.673828125
1765434535.0956526,16,0.9,p9000,0.01287841796875
1765434535.0956526,16,0.95,p9500,0.021587371826171875
1765434535.0956526,16,0.99,p9900,0.073089599609375
1765434535.0956526,16,0.999,p9990,0.2438507080078125
1765434535.0956526,16,0.9999,p9999,1.2597198486328125
1765434535.0956526,16,,max,18.4375
1765434535.0956526,17,0.9,p9000,0.011058807373046875
1765434535.0956526,17,0.95,p9500,0.0193328857421875
1765434535.0956526,17,0.99,p9900,0.0714263916015625
1765434535.0956526,17,0.999,p9990,0.24021148681640625
1765434535.0956526,17,0.9999,p9999,0.7622756958007812
1765434535.0956526,17,,max,8.796875
1765434535.0956526,18,0.9,p9000,0.011671066284179688
1765434535.0956526,18,0.95,p9500,0.021327972412109375
1765434535.0956526,18,0.99,p9900,0.080352783203125
1765434535.0956526,18,0.999,p9990,0.2554950714111328
1765434535.0956526,18,0.9999,p9999,0.6743087768554688
1765434535.0956526,18,,max,31.01953125
1765434535.0956526,19,0.9,p9000,0.01279449462890625
1765434535.0956526,19,0.95,p9500,0.02321624755859375
1765434535.0956526,19,0.99,p9900,0.08297920227050781
1765434535.0956526,19,0.999,p9990,0.2743511199951172
1765434535.0956526,19,0.9999,p9999,1.42864990234375
1765434535.0956526,19,,max,15.8828125
1765434535.0956526,20,0.9,p9000,0.013628005981445312
1765434535.0956526,20,0.95,p9500,0.024349212646484375
1765434535.0956526,20,0.99,p9900,0.085174560546875
1765434535.0956526,20,0.999,p9990,0.26108551025390625
1765434535.0956526,20,0.9999,p9999,0.6827163696289062
1765434535.0956526,20,,max,13.111328125
1765434535.0956526,21,0.9,p9000,0.014562606811523438
1765434535.0956526,21,0.95,p9500,0.026103973388671875
1765434535.0956526,21,0.99,p9900,0.0885467529296875
1765434535.0956526,21,0.999,p9990,0.2621898651123047
1765434535.0956526,21,0.9999,p9999,0.7226715087890625
1765434535.0956526,21,,max,10.751953125
1765434535.0956526,22,0.9,p9000,0.014987945556640625
1765434535.0956526,22,0.95,p9500,0.026325225830078125
1765434535.0956526,22,0.99,p9900,0.08690261840820312
1765434535.0956526,22,0.999,p9990,0.26698875427246094
1765434535.0956526,22,0.9999,p9999,0.72857666015625
1765434535.0956526,22,,max,13.541015625
1765434535.0956526,23,0.9,p9000,0.015047073364257812
1765434535.0956526,23,0.95,p9500,0.026111602783203125
