timestamp,layer,percentile,stat,value
1765262338.4728434,9,0.99,p9900,0.04084904988606771
1765262338.4728434,9,0.999,p9990,0.12519391377766928
1765262338.4728434,9,0.9999,p9999,0.28214772542317706
1765262338.4728434,9,,max,7.321614583333333
1765262338.4728434,10,0.9,p9000,0.010884602864583334
1765262338.4728434,10,0.95,p9500,0.016634623209635418
1765262338.4728434,10,0.99,p9900,0.045720418294270836
1765262338.4728434,10,0.999,p9990,0.13718732198079428
1765262338.4728434,10,0.9999,p9999,0.48771413167317706
1765262338.4728434,10,,max,5.3125
1765262338.4728434,11,0.9,p9000,0.011124928792317709
1765262338.4728434,11,0.95,p9500,0.017771402994791668
1765262338.4728434,11,0.99,p9900,0.0505987803141276
1765262338.4728434,11,0.999,p9990,0.14764022827148438
1765262338.4728434,11,0.9999,p9999,0.36488087972005206
1765262338.4728434,11,,max,6.602213541666667
1765262338.4728434,12,0.9,p9000,0.010500590006510416
1765262338.4728434,12,0.95,p9500,0.016330718994140625
1765262338.4728434,12,0.99,p9900,0.0483862559000651
1765262338.4728434,12,0.999,p9990,0.14834467569986978
1765262338.4728434,12,0.9999,p9999,0.34554290771484375
1765262338.4728434,12,,max,4.350911458333333
1765262338.4728434,13,0.9,p9000,0.010955810546875
1765262338.4728434,13,0.95,p9500,0.017690022786458332
1765262338.4728434,13,0.99,p9900,0.054402669270833336
1765262338.4728434,13,0.999,p9990,0.16305414835611978
1765262338.4728434,13,0.9999,p9999,0.44251759847005206
1765262338.4728434,13,,max,6.913411458333333
1765262338.4728434,14,0.9,p9000,0.011025746663411459
1765262338.4728434,14,0.95,p9500,0.01778411865234375
1765262338.4728434,14,0.99,p9900,0.058624267578125
1765262338.4728434,14,0.999,p9990,0.17690149943033853
1765262338.4728434,14,0.9999,p9999,0.3985087076822917
1765262338.4728434,14,,max,6.28515625
1765262338.4728434,15,0.9,p9000,0.012299855550130209
1765262338.4728434,15,0.95,p9500,0.02051544189453125
1765262338.4728434,15,0.99,p9900,0.07036399841308594
1765262338.4728434,15,0.999,p9990,0.23773829142252603
1765262338.4728434,15,0.9999,p9999,0.5236256917317709
1765262338.4728434,15,,max,7.670572916666667
1765262338.4728434,16,0.9,p9000,0.013167063395182291
1765262338.4728434,16,0.95,p9500,0.022539774576822918
1765262338.4728434,16,0.99,p9900,0.07552210489908855
1765262338.4728434,16,0.999,p9990,0.24810918172200522
1765262338.4728434,16,0.9999,p9999,1.293243408203125
1765262338.4728434,16,,max,18.434895833333332
1765262338.4728434,17,0.9,p9000,0.011333465576171875
1765262338.4728434,17,0.95,p9500,0.020365397135416668
1765262338.4728434,17,0.99,p9900,0.07408777872721355
1765262338.4728434,17,0.999,p9990,0.24186325073242188
1765262338.4728434,17,0.9999,p9999,0.7786661783854166
1765262338.4728434,17,,max,8.362630208333334
1765262338.4728434,18,0.9,p9000,0.0119781494140625
1765262338.4728434,18,0.95,p9500,0.022516886393229168
1765262338.4728434,18,0.99,p9900,0.0836804707845052
1765262338.4728434,18,0.999,p9990,0.25986480712890625
1765262338.4728434,18,0.9999,p9999,0.7018992106119791
1765262338.4728434,18,,max,30.231770833333332
1765262338.4728434,19,0.9,p9000,0.01308441162109375
1765262338.4728434,19,0.95,p9500,0.024275461832682293
1765262338.4728434,19,0.99,p9900,0.08595911661783855
1765262338.4728434,19,0.999,p9990,0.2761243184407552
1765262338.4728434,19,0.9999,p9999,1.4145100911458333
1765262338.4728434,19,,max,15.903645833333334
1765262338.4728434,20,0.9,p9000,0.013905843098958334
1765262338.4728434,20,0.95,p9500,0.025461832682291668
1765262338.4728434,20,0.99,p9900,0.0883928934733073
1765262338.4728434,20,0.999,p9990,0.26681772867838544
1765262338.4728434,20,0.9999,p9999,0.7014719645182291
1765262338.4728434,20,,max,7.770833333333333
1765262338.4728434,21,0.9,p9000,0.014858245849609375
1765262338.4728434,21,0.95,p9500,0.027187347412109375
1765262338.4728434,21,0.99,p9900,0.09153493245442708
1765262338.4728434,21,0.999,p9990,0.2674242655436198
1765262338.4728434,21,0.9999,p9999,0.7242228190104166
1765262338.4728434,21,,max,13.526041666666666
1765262338.4728434,22,0.9,p9000,0.015331268310546875
1765262338.4728434,22,0.95,p9500,0.02745819091796875
1765262338.4728434,22,0.99,p9900,0.09081141153971355
1765262338.4728434,22,0.999,p9990,0.2744038899739583
1765262338.4728434,22,0.9999,p9999,0.7360636393229166
1765262338.4728434,22,,max,10.626302083333334
1765262338.4728434,23,0.9,p9000,0.015360514322916666
1765262338.4728434,23,0.95,p9500,0.02721405029296875
1765262338.4728434,23,0.99,p9900,0.0924695332845052
1765262338.4728434,23,0.999,p9990,0.3042640686035156
1765262338.4728434,23,0.9999,p9999,0.786834716796875
1765262338.4728434,23,,max,12.795572916666666
1765262338.4728434,24,0.9,p9000,0.015424092610677084
1765262338.4728434,24,0.95,p9500,0.027669270833333332
1765262338.4728434,24,0.99,p9900,0.093231201171875
1765262338.4728434,24,0.999,p9990,0.27985509236653644
1765262338.4728434,24,0.9999,p9999,0.7559102376302084
1765262338.4728434,24,,max,12.220052083333334
